"","zSensr","defl"
"391",-4.6151736654565e-08,-2.50187426331649e-10
"392",-4.61499176651614e-08,-2.06683559156318e-10
"393",-4.61480986757579e-08,-2.87369239515556e-10
"394",-4.61462228429355e-08,-3.3447866698566e-10
"395",-4.61443470101131e-08,-2.15955253679567e-10
"396",-4.61424711772906e-08,-4.62012650359611e-11
"397",-4.61405385010494e-08,5.26334531514294e-12
"398",-4.6138662668227e-08,-6.59161614180448e-11
"399",-4.61367299919857e-08,-1.1180834036395e-10
"400",-4.61347404723256e-08,-6.16546813603236e-11
"401",-4.61328077960843e-08,7.72391040015918e-11
"402",-4.6130875119843e-08,1.75017333958749e-10
"403",-4.61288856001829e-08,1.8564749737493e-10
"404",-4.61268960805228e-08,7.04281077901214e-12
"405",-4.61249065608627e-08,-1.42200029529249e-10
"406",-4.61229170412025e-08,-1.08951958566195e-10
"407",-4.61208706781235e-08,-7.8325790298095e-11
"408",-4.61188811584634e-08,-9.77595782103435e-11
"409",-4.61168347953844e-08,-1.18317800001932e-10
"410",-4.61147884323054e-08,-1.61259450237594e-10
"411",-4.61127420692264e-08,-1.56670232343004e-10
"412",-4.61106957061475e-08,-2.07526440476613e-10
"413",-4.61086493430685e-08,-2.50374387888996e-10
"414",-4.61066029799895e-08,-7.11142256193398e-11
"415",-4.61044997734916e-08,8.92739215885285e-11
"416",-4.61024534104126e-08,5.19047027580655e-11
"417",-4.61003502039148e-08,3.81841225305379e-11
"418",-4.60983038408358e-08,1.23740129254202e-10
"419",-4.60962006343379e-08,1.68274283396386e-10
"420",-4.60940974278401e-08,1.52914125806092e-10
"421",-4.60919942213422e-08,4.11342071515719e-11
"422",-4.60898910148444e-08,-1.04175335025047e-10
"423",-4.60877878083465e-08,-1.48334677874118e-10
"424",-4.60856846018487e-08,-5.73465719355681e-11
"425",-4.6083524551932e-08,-3.95519172968761e-11
"426",-4.60814213454341e-08,-1.71655578640184e-10
"427",-4.60793181389363e-08,-9.54649692630483e-11
"428",-4.60772149324384e-08,6.20197226908203e-11
"429",-4.60750548825217e-08,4.92357266068666e-11
"430",-4.60729516760239e-08,9.44719857898235e-11
"431",-4.60707916261072e-08,1.93936422476781e-10
"432",-4.60686884196093e-08,2.39500419496608e-10
"433",-4.60665283696926e-08,1.97682314961867e-10
"434",-4.60644251631948e-08,1.04212194429465e-10
"435",-4.6062265113278e-08,1.22335030994236e-10
"436",-4.60601619067802e-08,1.32918565043383e-10
"437",-4.60580587002823e-08,1.09294795436199e-11
"438",-4.60558986503656e-08,8.14535106030689e-11
"439",-4.60537954438678e-08,2.52752929696953e-10
"440",-4.60516353939511e-08,2.53174370357101e-10
"441",-4.60495321874532e-08,1.15310871962038e-10
"442",-4.60473721375365e-08,-9.82747216937696e-11
"443",-4.60452689310387e-08,-2.28880026043043e-10
"444",-4.60431657245408e-08,-3.80090181550941e-10
"445",-4.6041062518043e-08,-5.12146769438004e-10
"446",-4.60389593115451e-08,-4.55999682458241e-10
"447",-4.60368561050473e-08,-3.62342156279283e-10
"448",-4.60347528985494e-08,-2.78987055679636e-10
"449",-4.60326496920516e-08,-1.72638792150792e-10
"450",-4.60305464855537e-08,-1.45665701722919e-10
"451",-4.60285001224747e-08,-1.21408216813279e-10
"452",-4.60263969159769e-08,8.21342993617691e-12
"453",-4.60243505528979e-08,2.16507700656621e-10
"454",-4.60223041898189e-08,1.89487536772504e-10
"455",-4.60202578267399e-08,-7.97308885580605e-11
"456",-4.60182114636609e-08,-1.53673074265726e-10
"457",-4.60162219440008e-08,-2.30706564963157e-10
"458",-4.60141755809218e-08,-1.87577064991729e-10
"459",-4.60121860612617e-08,-2.88746804244511e-11
"460",-4.60101965416015e-08,-5.28976862312902e-11
"461",-4.60082638653603e-08,-3.06541458883203e-11
"462",-4.60062743457001e-08,2.76942913046696e-11
"463",-4.60043416694589e-08,1.60266466764369e-10
"464",-4.60024089932176e-08,2.23344454042262e-10
"465",-4.60005331603952e-08,1.34042110744303e-10
"466",-4.59986004841539e-08,1.42143630199598e-10
"467",-4.59967246513315e-08,8.79629702410512e-11
"468",-4.5994905661928e-08,-2.22248885961562e-11
"469",-4.59930298291056e-08,-6.63846755344366e-11
"470",-4.5991210839702e-08,-3.56648044430585e-11
"471",-4.59894486937173e-08,1.24301902104662e-10
"472",-4.59876297043138e-08,1.39614986238712e-10
"473",-4.59858675583291e-08,2.37605490838178e-11
"474",-4.59841054123444e-08,-1.11902043187229e-10
"475",-4.59824001097786e-08,-3.78123310440515e-10
"476",-4.59806948072128e-08,-5.32844879330696e-10
"477",-4.5978989504647e-08,-3.85990350793008e-10
"478",-4.59773410455e-08,-8.19317946820775e-11
"479",-4.5975692586353e-08,2.49943177266232e-10
"480",-4.59740441272061e-08,4.67649918789448e-10
"481",-4.59723956680591e-08,4.97339502913974e-10
"482",-4.5970804052331e-08,3.77551767627438e-10
"483",-4.59692692800218e-08,1.54038115596222e-10
"484",-4.59676776642937e-08,-9.15978404236739e-12
"485",-4.59661428919844e-08,1.11168851901766e-11
"486",-4.5964664963094e-08,9.2598817502676e-11
"487",-4.59631870342037e-08,1.08052233827038e-10
"488",-4.59617091053133e-08,8.50595149870514e-11
"489",-4.59602311764229e-08,2.03215222427389e-12
"490",-4.59588100909514e-08,2.07167616395054e-11
"491",-4.59573890054799e-08,8.81970052546421e-11
"492",-4.59559679200083e-08,-2.49880116598433e-11
"493",-4.59546036779557e-08,3.64979158007372e-11
"494",-4.5953239435903e-08,1.01402886087953e-10
"495",-4.59519320372692e-08,4.0150549551754e-11
"496",-4.59506246386354e-08,1.4059819974932e-10
"497",-4.59493172400016e-08,1.56613833013353e-10
"498",-4.59480666847867e-08,1.33386635070565e-10
"499",-4.59468161295717e-08,1.18448362229628e-10
"500",-4.59455655743568e-08,2.14659401365225e-11
"501",-4.59443718625607e-08,3.4718450336868e-11
"502",-4.59431781507647e-08,1.46358036801075e-10
"503",-4.59420412823874e-08,1.26456178861645e-10
"504",-4.59409044140102e-08,1.10768283434481e-10
"505",-4.5939767545633e-08,1.23131282947497e-10
"506",-4.59386875206746e-08,7.83160203354782e-11
